0.06,1
0.06,1
0.06,3
0.06,3
0.06,2
0.06,13
0.06,5
0.06,2
0.06,4
0.06,8
0.06,11
0.06,1
0.06,1
0.06,7
0.06,1
0.06,15
0.06,10
0.06,5
0.06,1
0.06,3
0.06,4
0.06,2
0.06,23
0.06,7
0.06,1
0.06,1
0.06,2
0.06,12
0.06,1
0.06,14
0.06,1
0.06,1
0.06,36
0.06,6
0.06,2
0.06,6
0.06,11
0.06,7
0.06,7
0.06,4
0.06,10
0.06,6
0.06,2
0.06,13
0.06,8
0.06,3
0.06,13
0.06,4
0.06,5
0.06,10
0.06,2
0.06,1
0.06,1
0.06,38
0.06,9
0.06,4
0.06,12
0.06,9
0.06,1
0.06,5
0.06,21
0.06,16
0.06,2
0.06,7
0.06,6
0.06,17
0.06,20
0.06,7
0.06,11
0.06,3
0.06,7
0.06,1
0.06,7
0.06,8
0.06,7
0.06,4
0.06,32
0.06,9
0.06,8
0.06,6
0.06,3
0.06,10
0.06,10
0.06,8
0.06,8
0.06,9
0.06,1
0.06,6
0.06,4
0.06,1
0.06,3
0.06,1
0.06,25
0.06,2
0.06,5
0.06,10
0.06,3
0.06,1
0.06,1
0.06,5
0.06,5
0.06,29
0.06,2
0.06,4
0.06,1
0.06,4
0.06,21
0.06,12
0.06,3
0.06,5
0.06,2
0.06,5
0.06,4
0.06,2
0.06,2
0.06,1
0.06,10
0.06,3
0.06,2
0.06,8
0.06,5
0.06,7
0.06,1
0.06,22
0.06,4
0.06,5
0.06,18
0.06,4
0.06,3
0.06,8
0.06,7
0.06,3
0.06,1
0.06,2
0.06,7
0.06,2
0.06,2
0.06,6
0.06,1
0.06,20
0.06,4
0.06,3
0.06,1
0.06,1
0.06,10
0.06,12
0.06,3
0.06,8
0.06,9
0.06,5
0.06,1
0.06,6
0.06,20
0.06,11
0.06,3
0.06,3
0.06,5
0.06,4
0.06,9
0.06,2
0.06,4
0.06,2
0.06,1
0.06,1
0.06,2
0.06,6
0.06,19
0.06,2
0.06,5
0.06,14
0.06,1
0.06,4
0.06,4
0.06,11
0.06,4
0.06,8
0.06,4
0.06,4
0.06,6
0.06,6
0.06,4
0.06,16
0.06,1
0.06,7
0.06,2
0.06,6
0.06,3
0.06,1
0.06,1
0.06,4
0.06,36
0.06,15
0.06,4
0.06,3
0.06,4
0.06,4
0.06,1
0.06,1
0.06,6
0.06,5
0.06,1
0.06,5
0.06,4
0.06,4
0.06,8
0.06,1
0.06,4
0.06,2
0.06,3
0.06,1
0.06,1
0.06,2
0.06,1
0.06,3
0.06,2
0.06,5
0.06,4
0.06,9
0.06,1
0.06,1
0.06,1
0.06,5
0.06,11
0.06,1
0.06,16
0.06,2
0.06,3
0.06,2
0.06,8
0.06,2
0.06,20
0.06,10
0.06,63
