0.0001,24
0.0001,5
0.0001,22
0.0001,11
0.0001,11
0.0001,6
0.0001,14
0.0001,37
0.0001,29
0.0001,28
0.0001,16
0.0001,29
0.0001,4
0.0001,5
0.0001,22
0.0001,25
0.0001,18
0.0001,19
0.0001,20
0.0001,5
0.0001,28
0.0001,22
0.0001,16
0.0001,11
0.0001,7
0.0001,22
0.0001,16
0.0001,13
0.0001,8
0.0001,42
0.0001,3
0.0001,40
0.0001,26
0.0001,17
0.0001,15
0.0001,27
0.0001,22
0.0001,4
0.0001,17
0.0001,12
0.0001,28
0.0001,11
0.0001,10
0.0001,24
0.0001,33
0.0001,73
0.0001,11
0.0001,29
0.0001,6
0.0001,35
0.0001,8
0.0001,16
0.0001,16
0.0001,25
0.0001,14
0.0001,4
0.0001,4
0.0001,41
0.0001,4
0.0001,7
0.0001,13
0.0001,41
0.0001,4
0.0001,17
0.0001,43
0.0001,46
0.0001,14
0.0001,15
0.0001,4
0.0001,15
0.0001,4
0.0001,13
0.0001,27
0.0001,26
0.0001,15
0.0001,30
0.0001,27
0.0001,19
0.0001,13
0.0001,18
0.0001,8
0.0001,10
0.0001,11
0.0001,15
0.0001,30
0.0001,45
0.0001,14
0.0001,9
0.0001,32
0.0001,5
0.0001,26
0.0001,7
0.0001,20
0.0001,28
0.0001,43
0.0001,36
0.0001,18
0.0001,13
0.0001,15
0.0001,16
0.0001,4
0.0001,15
0.0001,22
0.0001,16
0.0001,43
0.0001,17
0.0001,39
0.0001,8
0.0001,30
0.0001,33
0.0001,10
0.0001,19
0.0001,41
0.0001,17
0.0001,35
0.0001,17
0.0001,11
0.0001,1
0.0001,6
0.0001,2
0.0001,28
0.0001,32
0.0001,15
0.0001,38
0.0001,7
0.0001,51
0.0001,17
0.0001,11
0.0001,21
0.0001,37
0.0001,14
0.0001,45
0.0001,9
0.0001,20
0.0001,10
0.0001,10
0.0001,26
0.0001,23
0.0001,2
0.0001,12
0.0001,31
0.0001,6
0.0001,24
0.0001,11
0.0001,24
0.0001,21
0.0001,4
0.0001,19
0.0001,6
0.0001,9
0.0001,26
0.0001,18
0.0001,7
0.0001,3
0.0001,9
0.0001,5
0.0001,5
0.0001,11
0.0001,23
0.0001,22
0.0001,15
0.0001,16
0.0001,12
0.0001,16
0.0001,6
0.0001,8
0.0001,25
0.0001,13
0.0001,55
0.0001,38
0.0001,19
0.0001,14
0.0001,61
0.0001,20
0.0001,40
0.0001,24
0.0001,13
0.0001,16
0.0001,13
0.0001,39
0.0001,9
0.0001,18
0.0001,16
0.0001,28
0.0001,13
0.0001,38
0.0001,18
0.0001,8
0.0001,9
0.0001,15
0.0001,11
0.0001,8
0.0001,12
0.0001,19
0.0001,2
0.0001,6
0.0001,8
0.0001,24
0.0001,24
0.0001,10
0.0001,4
0.0001,33
0.0001,30
0.0001,25
0.0001,31
0.0001,8
0.0001,17
0.0001,25
0.0001,7
0.0001,22
0.0001,6
0.0001,18
0.0001,22
0.0001,20
0.0001,4
0.0001,11
0.0001,19
0.0001,8
0.0001,19
0.0001,29
0.0001,15
0.0001,14
0.0001,13
0.0001,16
0.0001,28
0.0001,13
0.0001,24
0.0001,6
0.0001,36
0.0001,5
0.0001,80
0.0001,42
0.0001,5
0.0001,31
0.0001,45
0.0001,6
0.0001,29
0.0001,23
0.0001,5
0.0001,24
0.0001,3
0.0001,12
0.0001,13
0.0001,19
0.0001,18
0.0001,37
0.0001,8
0.0001,7
0.0001,3
0.0001,43
0.0001,9
0.0001,33
0.0001,8
0.0001,8
0.0001,23
0.0001,8
0.0001,29
0.0001,22
0.0001,16
0.0001,19
0.0001,21
0.0001,16
0.0001,16
0.0001,22
0.0001,11
0.0001,16
0.0001,33
0.0001,14
0.0001,25
0.0001,36
0.0001,6
0.0001,14
0.0001,19
0.0001,26
0.0001,6
0.0001,12
0.0001,3
0.0001,4
0.0001,26
0.0001,3
0.0001,2
0.0001,27
0.0001,11
0.0001,7
0.0001,4
0.0001,10
0.0001,4
0.0001,19
0.0001,6
0.0001,10
0.0001,11
0.0001,13
0.0001,23
0.0001,9
0.0001,3
0.0001,10
0.0001,18
0.0001,35
0.0001,6
0.0001,12
0.0001,8
0.0001,37
0.0001,5
0.0001,14
0.0001,47
0.0001,4
0.0001,42
0.0001,32
0.0001,43
0.0001,16
0.0001,12
0.0001,23
0.0001,7
0.0001,7
0.0001,6
0.0001,11
0.0001,54
0.0001,3
0.0001,10
0.0001,22
0.0001,12
0.0001,9
0.0001,12
0.0001,10
0.0001,7
0.0001,15
0.0001,13
0.0001,4
0.0001,15
0.0001,16
0.0001,16
0.0001,17
0.0001,7
0.0001,18
0.0001,23
0.0001,35
0.0001,22
0.0001,17
0.0001,35
0.0001,26
0.0001,12
0.0001,31
0.0001,28
0.0001,1
0.0001,12
0.0001,27
0.0001,29
0.0001,11
0.0001,11
0.0001,14
0.0001,23
0.0001,15
0.0001,2
0.0001,17
0.0001,21
0.0001,14
0.0001,9
0.0001,14
0.0001,18
0.0001,8
0.0001,6
